SITE_ID,PROGRAM_ID,DATE_SMP,SAMPLE_LOCATION,SAMPLE_TYPE,WATERBODY_TYPE,SAMPLE_DEPTH,TIME_SMP,ANC_UEQ_L,CA_UEQ_L,CHL_A_UG_L,CL_UEQ_L,COND_UM_CM,DOC_MG_L,F_UEQ_L,K_UEQ_L,MG_UEQ_L,NA_UEQ_L,NH4_UEQ_L,NO3_UEQ_L,N_TD_UEQ_L,PH_EQ,PH_FLD,PH_LAB,PH_STVL,P_TL_UEQ_L,SECCHI_M,SIO2_MG_L,SO4_UEQ_L,WTEMP_DEG_C
1A1-052,LTM_ALTM,2007-11-14 00:00:00,EPI,Regular,Lake,0.0,1100,79.57,132.734,,9.306,24.025,4.191,4.57968,7.936,40.327,33.495,-0.4432,0.644,,7.09,,6.632,,,,1.43,94.016,
1A2-078,LTM_ALTM,2007-11-14 00:00:00,EPI,Regular,Lake,0.0,1120,15.74,58.383,,11.844,16.186,3.601,2.21088,8.448,26.336,26.535,0.4986,6.7298,,6.13,,5.727,,,,1.79,80.912,
1A2-077,LTM_ALTM,2007-11-14 00:00:00,EPI,Regular,Lake,0.0,1145,109.55,131.237,,7.614,23.007,2.989,0.5264,2.56,27.159,39.585,0.0554,2.4633,,7.13,,6.764,,,,5.52,72.176,
070728,LTM_ALTM,2007-11-14 00:00:00,EPI,Regular,Stream,0.0,1110,18.76,63.872,,11.28,17.204,2.996,2.00032,7.936,28.805,29.145,0.277,7.4704,,6.23,,5.849,,,,2.5,84.032,
050649,LTM_ALTM,2007-11-14 00:00:00,EPI,Regular,Lake,0.0,1010,-3.97,50.898,,11.28,23.007,14.432,4.84288,10.24,34.566,22.185,2.7146,1.61,,4.7,,4.695,,,,4.4,72.592,
1A1-110,LTM_ALTM,2007-11-13 00:00:00,EPI,Regular,Lake,0.0,1216,43.82,91.317,,11.28,20.564,3.881,4.00064,9.984,29.628,31.755,1.6066,13.1376,,6.75,,6.235,,,,4.82,79.456,
041007,LTM_ALTM,2007-11-13 00:00:00,EPI,Regular,Lake,0.0,1250,11.69,61.876,,11.28,18.629,8.013,2.84256,9.216,23.867,20.88,1.6066,7.9534,,5.11,,5.104,,,,4.89,76.336,
ME-4575,LTM_ME,2007-11-13 00:00:00,EPI,Regular,Lake,,,46.9,69.9,,52.2,20.8,5.7,,7.9,33.2,84.0,,0.2,210.0,6.67,,6.02,6.03,,,3.9,57.6,6.0
1A3-065,LTM_ALTM,2007-11-13 00:00:00,EPI,Regular,Lake,0.0,1155,12.76,57.884,,7.05,14.965,2.823,2.31616,5.888,20.575,21.315,2.2714,13.1376,,6.1,,5.795,,,,3.07,63.232,
ME-0441,LTM_ME,2007-11-13 00:00:00,EPI,Regular,Lake,,,66.1,85.5,,36.8,19.8,4.0,,9.4,35.9,72.7,,0.3,210.0,6.85,,6.37,6.34,,,2.59,50.2,7.0
1E2-060,LTM_ME,2007-11-12 00:00:00,EPI,Regular,Lake,,,122.8,182.5,,16.8,25.2,10.1,,7.1,54.5,33.7,,0.1,270.0,7.09,,6.51,6.38,,,3.28,53.2,2.0
ME-2068,LTM_ME,2007-11-12 00:00:00,EPI,Regular,Lake,,,198.5,175.5,,16.5,30.9,1.8,,27.1,38.2,73.1,,2.9,90.0,7.48,,6.86,6.88,,,7.63,60.8,3.0
1E1-132,LTM_ME,2007-11-11 00:00:00,EPI,Annual,Lake,,,7.3,35.7,,67.8,18.2,2.0,,6.7,22.9,82.9,,0.0,110.0,6.09,,5.87,5.72,,,2.68,53.2,5.0
ME-9998,LTM_ME,2007-11-11 00:00:00,EPI,Regular,Lake,,,-17.2,84.3,,41.1,31.8,19.0,,10.1,45.7,66.6,,6.9,400.0,4.6,,4.59,4.65,,,4.71,64.2,6.0
ME-9999,LTM_ME,2007-11-11 00:00:00,EPI,Regular,Lake,,,30.1,53.4,,35.3,16.2,4.0,,8.9,23.4,64.1,,3.3,150.0,6.39,,6.2,6.12,,,2.04,48.5,3.0
1E1-134,LTM_ME,2007-11-11 00:00:00,EPI,Regular,Lake,,,-23.7,22.0,,82.1,28.5,6.2,,9.1,20.0,84.3,,0.2,140.0,4.61,,4.61,4.57,,,4.68,66.1,2.0
1E1-135,LTM_ME,2007-11-11 00:00:00,EPI,Regular,Lake,,,54.9,67.4,,57.6,19.8,2.8,,7.1,29.9,81.7,,2.9,150.0,6.87,,6.5,6.45,,,0.79,45.7,2.0
1E1-133,LTM_ME,2007-11-11 00:00:00,EPI,Annual,Lake,,,42.9,53.1,,58.0,19.2,2.5,,7.2,27.5,88.4,,0.7,120.0,6.74,,6.43,6.36,,,2.23,45.1,3.0
ME-4778,LTM_ME,2007-11-11 00:00:00,EPI,Regular,Lake,,,-4.1,14.1,,23.9,8.8,2.0,,3.9,10.1,28.9,,0.2,200.0,5.47,,5.37,5.48,,,0.0,24.6,5.0
ME-4474,LTM_ME,2007-11-11 00:00:00,EPI,Regular,Lake,,,-29.0,10.7,,34.0,18.3,6.0,,6.1,11.4,32.1,,0.3,230.0,4.6,,4.61,4.57,,,0.14,24.0,-1.0
1E1-060,LTM_ME,2007-11-11 00:00:00,EPI,Regular,Lake,,,108.4,112.7,,35.4,20.8,5.2,,9.3,30.5,57.0,,0.1,180.0,7.06,,6.7,6.54,,,1.67,25.1,6.0
050706,LTM_ALTM,2007-11-08 00:00:00,EPI,Regular,Lake,0.0,1140,5.43,62.375,,8.178,17.832,5.555,0.7896,1.792,15.637,21.315,0.6648,18.0642,,5.03,,5.063,,,,6.37,79.456,
1A1-102,LTM_ALTM,2007-11-08 00:00:00,EPI,Regular,Lake,0.0,1522,53.95,86.826,,7.05,16.304,2.245,0.89488,2.56,20.575,23.49,1.7174,2.093,,6.93,,6.623,,,,2.21,61.152,
050669,LTM_ALTM,2007-11-08 00:00:00,EPI,Regular,Lake,0.5,1130,10.94,30.938,,7.05,9.416,4.305,0.94752,9.984,12.345,9.135,2.3822,0.7889,,5.64,,5.399,,,,0.31,29.952,
050707,LTM_ALTM,2007-11-08 00:00:00,EPI,Regular,Lake,0.0,1304,9.06,64.87,,9.024,18.342,6.738,0.7896,2.56,15.637,20.445,2.2714,23.1357,,5.03,,5.074,,,,6.11,73.216,
020265,LTM_ALTM,2007-11-08 00:00:00,EPI,Regular,Lake,0.0,1425,20.23,75.848,,9.588,16.712,3.131,0.7896,1.28,19.752,26.535,-0.1108,17.1948,,6.09,,5.922,,,,7.41,74.256,
04253630,LTM_ALTM,2007-11-07 00:00:00,EPI,Regular,Stream,0.0,1010,9.24,66.866,,10.152,19.463,6.658,3.84272,9.728,20.575,23.49,0.6094,5.0715,,5.12,,5.115,,,,4.27,94.432,
020188,LTM_ALTM,2007-11-07 00:00:00,EPI,Regular,Lake,0.5,1100,-6.22,26.447,,5.076,11.209,1.225,0.7896,6.656,13.991,3.045,-0.3878,0.2576,,4.98,,5.003,,,,0.0,56.368,
1A1-029,LTM_ALTM,2007-11-07 00:00:00,EPI,Regular,Lake,0.0,1025,135.97,144.71,,10.716,27.411,5.279,1.73712,8.192,51.026,42.195,5.5954,1.9642,,7.2,,6.853,,,,1.98,75.92,
1A1-107,LTM_ALTM,2007-11-07 00:00:00,EPI,Regular,Lake,0.5,0954,-46.58,32.435,,11.562,26.392,16.95,1.21072,5.888,27.982,10.005,4.709,0.644,,4.32,,4.318,,,,1.44,45.76,
1A1-017,LTM_ALTM,2007-11-07 00:00:00,IN,Regular,Lake,0.0,1100,3.96,65.369,,10.152,20.482,6.691,3.57952,10.752,19.752,22.62,0.1662,4.6046,,4.97,,4.992,,,,3.53,99.008,
04253660,LTM_ALTM,2007-11-07 00:00:00,EPI,Regular,Stream,0.0,1135,37.71,123.752,,10.716,24.558,5.443,4.84288,7.424,38.681,23.925,1.9944,11.2056,,6.38,,6.111,,,,6.55,119.808,
020197,LTM_ALTM,2007-11-07 00:00:00,EPI,Regular,Lake,0.5,1132,-6.49,18.463,,6.204,10.801,3.872,0.63168,3.84,8.23,3.915,2.3822,0.7889,,4.85,,4.833,,,,0.17,35.152,
020138,LTM_ALTM,2007-11-07 00:00:00,EPI,Regular,Lake,0.0,0922,-9.46,30.938,,7.05,17.934,12.365,1.10544,11.008,10.699,6.09,22.9356,0.7889,,4.68,,4.638,,,,1.82,34.528,
1A1-087,LTM_ALTM,2007-11-07 00:00:00,IN,Regular,Lake,0.0,1220,126.68,187.125,,7.614,27.105,4.543,2.84256,7.936,34.566,13.485,0.7756,9.7566,,7.25,,6.896,,,,2.58,78.832,
060182,LTM_ALTM,2007-11-06 00:00:00,EPI,Regular,Lake,0.0,0842,127.22,192.115,,10.434,29.653,3.502,2.57936,5.888,26.336,27.84,0.3324,21.574,,7.19,,6.89,,,,4.98,92.768,
060315A,LTM_ALTM,2007-11-06 00:00:00,EPI,Regular,Stream,0.0,1340,24.25,89.82,,14.1,22.418,8.962,3.73744,9.984,35.389,29.58,0.3324,5.1198,,5.56,,5.389,,,,6.08,105.872,
070859,LTM_ALTM,2007-11-06 00:00:00,EPI,Regular,Lake,0.5,1126,32.07,63.373,,7.614,14.775,2.912,2.1056,5.632,27.159,24.36,0.554,3.8801,,6.48,,6.24,,,,1.88,63.024,
1A1-059,LTM_ALTM,2007-11-06 00:00:00,EPI,Regular,Lake,0.0,1400,45.83,107.784,,10.716,23.946,9.153,4.00064,10.752,46.088,35.67,0.3878,16.1483,,6.41,,5.889,,,,7.12,90.064,
1A2-076,LTM_ALTM,2007-11-06 00:00:00,EPI,Regular,Lake,0.5,1055,5.86,33.433,,5.922,8.193,4.203,0.47376,5.632,7.407,3.915,0.0,0.4347,,5.52,,5.273,,,,0.26,27.248,
1A2-066,LTM_ALTM,2007-11-06 00:00:00,EPI,Regular,Lake,0.0,1250,11.38,62.375,,9.024,16.304,2.437,1.78976,5.376,25.513,20.01,2.0498,14.2968,,5.72,,5.64,,,,2.99,81.12,
